No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX) AB,14.73,,mag,1.98E15,0.00466,,,,,,Jy,2007ApJS..173..404B,no uncertainty reported,1516 A,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
2,FUV (GALEX) AB,14.7,,mag,1.98E15,0.00479,,,,,,Jy,2007ApJS..173..404B,no uncertainty reported,1516 A,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
3,FUV (GALEX) AB,14.71,+/-0.01,mag,1.96E15,0.00474,4.37E-5,4.37E-5,,,+/-4.37E-05,Jy,2018ApJS..234...18B,1 sigma,1530 A,Broad-band measurement,136.889776 +60.479448 (J2000),Total flux,Asymptotic magnitude,From new raw data
4,NUV (GALEX) AB,14.21,+/-0.01,mag,1.3E15,0.00752,6.92E-5,6.92E-5,,,+/-6.92E-05,Jy,2018ApJS..234...18B,1 sigma,2310 A,Broad-band measurement,136.889776 +60.479448 (J2000),Total flux,Asymptotic magnitude,From new raw data
5,U (U_T),12.11,+/-0.17,mag,8.19E14,0.0259,0.00447,0.00447,,,+/-4.47E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,3660       A,Broad-band measurement,090338.6 +604052 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
6,U (U_T^0),11.46,,mag,8.19E14,0.0472,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,3660       A,Broad-band measurement,090338.6 +604052 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
7,B (B_T),12.03,+/-0.17,mag,6.81E14,0.0657,0.0111,0.0111,,,+/-1.11E-02,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,090338.6 +604052 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
8,B (m_B),12.18,+/-0.15,mag,6.81E14,0.0572,0.00847,0.00847,,,+/-8.47E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,090338.6 +604052 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
9,B (B_T^0),11.47,,mag,6.81E14,0.11,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,4400       A,Broad-band measurement,090338.6 +604052 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
10,m_p,12.0,+/-0.4,mag,6.81E14,0.0675,0.0301,0.0301,,,+/-3.01E-02,Jy,1968CGCG4.C...0000Z,rms noise,4400       A,Broad-band measurement,090336.0 +604000. (B1950),Estimated by eye,,From new raw data
