#Table1
u,g,r,i,z,redshift
19.72725,18.24207,17.65169,17.28164,17.07238,0.08474916
19.40331,18.21209,17.63813,17.21235,17.00459,0.08897925
19.90655,18.31481,17.49024,16.9968,16.59412,0.08769272
20.49991,18.54588,17.48281,16.91691,16.43251,0.08945534
19.37122,17.874,17.23508,16.81075,16.53594,0.06984673
18.68742,17.38063,16.91847,16.65045,16.45192,0.04958897
19.11156,17.52936,16.71915,16.2628,15.86935,0.05020094
17.4006,16.28152,15.84907,15.60405,15.40086,0.03276557
19.81425,18.5266,17.86688,17.47517,17.22741,0.06800771
18.77401,16.71831,15.68455,15.18589,14.78844,0.06836636
17.7902,16.62802,16.15077,15.85967,15.6565,0.04806982
19.53237,17.64661,16.59679,16.07399,15.67989,0.05667758
19.35062,17.90006,17.33493,16.98621,16.73307,0.08144762
19.51914,18.35248,17.83754,17.54294,17.34665,0.05574461
19.36918,18.02738,17.53441,17.23723,17.04132,0.05533386
17.91883,16.78357,16.36801,16.02861,15.8854,0.05555231
18.46837,17.05451,16.43692,16.05719,15.81721,0.05591223
19.49664,18.28441,17.72901,17.33362,17.14402,0.05762954
17.87721,16.59167,15.95641,15.56669,15.33162,0.05804155
19.78039,17.85726,16.89594,16.46699,16.09876,0.07942327
20.13236,18.42024,17.53586,16.99387,16.57228,0.085917
19.39457,18.11488,17.46252,17.07111,16.83985,0.05537476
18.86985,17.91304,17.55133,17.18573,17.09064,0.05902028
18.83757,17.12259,16.36792,15.90656,15.59752,0.05877787
18.85786,16.96216,16.00313,15.49234,15.12086,0.05765377
19.56508,18.07842,17.59711,17.30647,17.1456,0.05813755
18.20337,16.35203,15.42559,14.97615,14.64996,0.05805147
16.85358,15.63081,15.09907,14.80041,14.57816,0.03223962
19.91665,17.79408,16.81001,16.37159,15.9891,0.08652647
19.9877,18.14825,17.21663,16.71256,16.31961,0.08569978
17.97382,16.7313,16.19508,15.91699,15.71101,0.04765368
19.24194,17.4374,16.49413,15.95312,15.56135,0.07435275
17.64879,16.49474,15.87173,15.4981,15.2808,0.08193589
19.07644,17.19797,16.30089,15.8828,15.56139,0.07057208
19.7928,17.92747,17.00706,16.60246,16.25832,0.0831765
18.35799,16.40675,15.52149,15.10122,14.76636,0.07594268
19.34145,17.35735,16.3837,15.94484,15.58079,0.07562031
18.67024,17.3274,16.66518,16.27936,16.0012,0.0795421
19.91499,17.91534,16.96341,16.52817,16.17626,0.08940969
18.79201,17.71587,17.31064,17.09239,16.98464,0.03146952
18.06068,17.04281,16.69544,16.39104,16.25756,0.07009142
19.24533,18.13623,17.77322,17.5135,17.37947,0.07794146
17.78422,16.50031,15.87221,15.49801,15.28736,0.06989451
19.71478,18.16947,17.33998,16.92702,16.58958,0.07097115
18.24933,17.00582,16.33551,15.91403,15.63367,0.08496574
19.8664,18.17842,17.53781,17.1618,16.90786,0.08071183
18.18849,17.00276,16.55171,16.30584,16.21456,0.04931947
18.91379,17.85946,17.43954,17.11021,16.91123,0.06181338
19.03165,17.2688,16.4058,16.00439,15.67268,0.06637767
19.15625,18.08972,17.7972,17.57063,17.48377,0.0486598
17.84915,16.64703,16.10961,15.80125,15.58915,0.04202126
18.36531,17.11435,16.50102,16.1332,15.88523,0.07237981
19.21375,17.61476,16.78795,16.30011,15.92994,0.07218131
18.7363,17.24314,16.53551,16.12133,15.79994,0.0803081
18.16946,16.7555,16.07469,15.70018,15.44349,0.07249907
18.48582,17.47009,17.15168,16.96801,16.89747,0.03258956
19.10975,18.05081,17.66049,17.47176,17.25882,0.04270654
18.93713,17.91322,17.55963,17.36401,17.20185,0.0320312
18.60415,16.66522,15.73765,15.3303,14.97645,0.08042388
20.29487,18.55173,17.66422,17.29273,16.94767,0.08134889
20.25504,18.36923,17.54353,17.18627,16.91114,0.08054847
18.55046,17.50105,17.01066,16.70494,16.5112,0.07150065
19.96355,18.26584,17.38348,16.98128,16.66632,0.07169601
19.54857,17.77632,16.8664,16.43002,16.08947,0.08057746
19.05137,18.01086,17.68808,17.44423,17.38686,0.08321483
19.16367,17.25481,16.35124,15.96928,15.64421,0.07196455
17.34686,16.14952,15.54111,15.15142,14.90117,0.08081593
20.07682,18.10812,17.36707,16.89252,16.61822,0.0808229
19.95976,18.4947,17.83657,17.47383,17.24454,0.08116315
19.33115,18.04402,17.49879,17.20448,17.00467,0.04829505
18.45327,16.64535,15.75609,15.3017,14.96077,0.07157665
19.75789,17.90286,16.9222,16.44662,16.09909,0.0791899
20.41855,18.35345,17.27871,16.7449,16.32093,0.08373197
20.53245,18.64717,17.71813,17.31781,16.99727,0.07941343
19.33329,18.15986,17.60607,17.28422,17.05248,0.0874192
18.13472,16.94623,16.47528,16.17266,15.95659,0.0575485
19.21338,18.12254,17.70387,17.39674,17.24318,0.07079878
19.32233,17.6064,16.83596,16.35945,16.04258,0.08306821
